City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Cam Ranh,VN,89.56,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
238,Kaseda,JP,83.43,clear sky,31.4167,130.3167,Sun Stay Kaseda
239,Marsh Harbour,BS,78.82,broken clouds,26.5412,-77.0636,Abaco Beach Resort
241,Sabang,ID,83.03,broken clouds,5.8933,95.3214,Hotel Citra
248,Attingal,IN,87.48,broken clouds,8.6833,76.8333,Ayurveda Hospital
249,Praya,CV,77.54,few clouds,14.9215,-23.5087,LT Aparthotel
250,Kota Kinabalu,MY,89.58,light rain,5.9749,116.0724,Gaya Centre Hotel
256,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
257,Mazagao,BR,82.45,overcast clouds,-0.115,-51.2894,Recanto dos Ferreiras
259,Meiktila,MM,87.24,overcast clouds,20.8667,95.8667,The Floral Breeze Wunzin Hotel
268,Port Blair,IN,82.69,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
271,Puerto Escondido,MX,79.23,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
275,Ixtapa,MX,83.23,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
276,Mongo,TD,83.39,overcast clouds,12.1844,18.693,Résidences du Programme FIDA
284,Boa Vista,BR,80.58,clear sky,2.8197,-60.6733,Aipana Plaza Hotel
289,Kongoussi,BF,79.39,broken clouds,13.3258,-1.5347,Hôtel La Sagesse
291,Loandjili,CG,77.11,broken clouds,-4.7561,11.8578,Résidence ARCHANGE
301,Yeppoon,AU,85.78,clear sky,-23.1333,150.7333,Villa Mar Colina
303,Atar,MR,81.25,overcast clouds,20.5169,-13.0499,Oumou Elghoura
306,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
308,Vero Beach,US,76.03,clear sky,27.6386,-80.3973,Kimpton Vero Beach Hotel & Spa
314,Alofi,NU,78.69,overcast clouds,-19.0595,-169.9187,Taloa Heights
322,Ballina,AU,89.78,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
323,Banepa,NP,75.52,few clouds,27.6298,85.5214,Dhulikhel Lodge Resort
328,Pucallpa,PE,75.13,broken clouds,-8.3791,-74.5539,Hospedaje Komby
331,Anantapur,IN,86.18,broken clouds,14.6833,77.6,Ashoka Lodge
332,Riyadh,SA,82.45,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
333,Bandarbeyla,SO,81.46,broken clouds,9.4942,50.8122,JABIR HOTEL
338,Kulhudhuffushi,MV,82.85,scattered clouds,6.6221,73.07,Hondaafushi Island Resort
342,Antalaha,MG,75.76,scattered clouds,-14.9003,50.2788,Hotel Vitasoa
348,Salalah,OM,80.69,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
360,Pontes E Lacerda,BR,78.12,clear sky,-15.2261,-59.3353,Hotel Bressan
361,Naze,JP,83.32,broken clouds,28.3667,129.4833,オーベルジュ・アガルイ
363,Dwarka,IN,84.38,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
365,Arlit,NE,79.56,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
368,Nuevo Laredo,MX,82.38,clear sky,27.4763,-99.5164,City Express Nuevo Laredo
376,Allende,MX,78.57,clear sky,25.2833,-100.0167,Ecovergel Hotel Boutique
378,Wanning,CN,86.45,broken clouds,18.8003,110.3967,Paradise Hotel
379,Lufilufi,WS,83.79,overcast clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
387,Itapipoca,BR,75.85,broken clouds,-3.4944,-39.5786,Hotel Pilotos
388,Danshui,CN,82.06,overcast clouds,22.7984,114.4672,Grand Skylight International Hotel Huizhou
394,Nambour,AU,87.33,clear sky,-26.6333,152.95,Nambour Lodge Motel
